file_name,altitude,time,surface,distance,run_start,heart_rate,landuse,width,path_index,latitude,speed,cadence,longitude,maxspeed
214.tcx,161.60000610351562,1.407651239e9,asphalt,2872.679931640625,978445,124,farmland,50,220,46.59074675291777,7.261000156402588,96,16.206741705536842,50
214.tcx,161.60000610351562,1.407651248e9,asphalt,2938.780029296875,978445,126,farmland,50,220,46.59111966378987,7.408999919891357,96,16.206069895997643,50
214.tcx,161.60000610351562,1.407651257e9,asphalt,3005.25,978445,129,farmland,50,220,46.591497687622905,7.367000102996826,96,16.20539783500135,50
214.tcx,161.60000610351562,1.407651266e9,asphalt,3070.639892578125,978445,127,farmland,50,220,46.591871017590165,7.315000057220459,96,16.204738346859813,50
214.tcx,161.60000610351562,1.407651272e9,asphalt,3113.969970703125,978445,129,farmland,50,220,46.59211602061987,7.21999979019165,96,16.204298632219434,50
214.tcx,161.60000610351562,1.407651281e9,asphalt,3178.47998046875,978445,127,farmland,50,220,46.59247753210366,7.224999904632568,96,16.20364023372531,50
214.tcx,161.60000610351562,1.407651286e9,asphalt,3214.47998046875,978445,127,farmland,50,220,46.59267668612301,7.195000171661377,96,16.20326992124319,50
214.tcx,161.60000610351562,1.407651295e9,asphalt,3279.429931640625,978445,126,farmland,50,220,46.593052027747035,7.185999870300293,96,16.202620407566428,50
214.tcx,161.60000610351562,1.407651302e9,asphalt,3329.110107421875,978445,126,farmland,50,220,46.593334497883916,7.067999839782715,96,16.202117996290326,50
214.tcx,161.60000610351562,1.407651308e9,asphalt,3371.550048828125,978445,123,farmland,50,220,46.59357665106654,7.072000026702881,96,16.201689764857292,50
214.tcx,161.60000610351562,1.407651317e9,asphalt,3436.1298828125,978445,121,farmland,50,220,46.59393682144582,7.230999946594238,96,16.20102851651609,50
214.tcx,161.60000610351562,1.407651319e9,asphalt,3450.169921875,978445,121,farmland,50,220,46.59401494078338,7.235000133514404,96,16.200884515419602,50
214.tcx,161.60000610351562,1.407651328e9,asphalt,3515.75,978445,123,farmland,50,220,46.59438810311258,7.254000186920166,96,16.20022175833583,50
214.tcx,161.60000610351562,1.407651333e9,asphalt,3551.7099609375,978445,122,farmland,50,220,46.59459480084479,7.197000026702881,96,16.199860833585262,50
214.tcx,161.60000610351562,1.407651342e9,asphalt,3616.219970703125,978445,123,farmland,50,220,46.59495647996664,7.168000221252441,96,16.199202770367265,50
214.tcx,161.60000610351562,1.407651347e9,asphalt,3652.10009765625,978445,124,farmland,50,220,46.59511422738433,7.171000003814697,96,16.19879457168281,50
214.tcx,161.60000610351562,1.407651354e9,asphalt,3703.860107421875,978445,125,farmland,50,220,46.595269292593,7.423999786376953,96,16.198157714679837,50
214.tcx,161.60000610351562,1.407651363e9,asphalt,3766.31005859375,978445,126,farmland,50,220,46.59544816240668,6.632999897003174,96,16.197385154664516,50
214.tcx,161.60000610351562,1.407651364e9,asphalt,3773.330078125,978445,126,farmland,50,220,46.59546911716461,6.618000030517578,96,16.197298569604754,70
214.tcx,162.0,1.407651372e9,asphalt,3828.719970703125,978445,129,farmland,50,220,46.595630971714854,7.008999824523926,96,16.196614941582084,70
214.tcx,162.39999389648438,1.407651373e9,asphalt,3836.1201171875,978445,128,farmland,50,220,46.595651591196656,7.166999816894531,96,16.196523159742355,70
214.tcx,163.0,1.407651374e9,asphalt,3843.3798828125,978445,129,farmland,50,220,46.59567095339298,7.327000141143799,96,16.196432719007134,70
214.tcx,163.39999389648438,1.407651375e9,asphalt,3850.659912109375,978445,129,farmland,50,220,46.59569031558931,7.3420000076293945,96,16.196341859176755,70
214.tcx,163.8000030517578,1.407651376e9,asphalt,3858.489990234375,978445,129,farmland,50,220,46.59570900723338,7.355000019073486,96,16.196243287995458,90
214.tcx,163.8000030517578,1.407651385e9,asphalt,3923.510009765625,978445,128,farmland,50,220,46.59589064307511,7.199999809265137,96,16.195437368005514,90
214.tcx,163.8000030517578,1.407651386e9,asphalt,3930.919921875,978445,128,farmland,50,220,46.59592157229781,7.3520002365112305,96,16.195351285859942,90
74.tcx,167.8000030517578,1.410272078e9,asphalt,3063.800048828125,1932274,144,farmland,50,419,46.590708028525114,8.524999618530273,96,16.20685301721096,50
